┼进制	十进制
出於意表	出于意表
出於意外	出于意外
出帐	出账
出组成	出租成
初出茅芦	初出茅庐
初来步到	初来乍到
初生犊	初生犊儿
摴蒱	樗蒲
除恶勿尽	除恶务尽
除溼机	除湿机
鉏铻	龃龉
橱师	厨师
储精蓄税	储精蓄锐
储茂	储藏
储茂室	储藏室
楚楚可观	楚楚可怜
楚天都市暴	楚天都市报
礎润而雨	础润而雨
处之偌定	处之若定
处之偌素	处之若素
俶傥	倜傥
触家触须	触甲触须
揣揣不安	惴惴不安
揣摸	揣摩
踹气	喘气
穿红带绿	穿红戴绿
穿流不息	川流不息
穿靴戴冒	穿靴戴帽
穿凿复会	穿凿附会
穿凿傅会	穿凿附会
穿著	穿着
穿著光鲜	穿着光鲜
传风搧火	传风扇火
传纪	传记
传袭紫	传龟袭紫
船进港弯	船进港湾
傳雷	傅雷
喘嘘嘘	喘吁吁
串连	串联
疮巨釁深	疮巨衅深
床第	床笫
床第之欢	床笫之欢
床第之私	床笫之私
床缛	床褥
创记录	创纪录
创钜痛仍	创巨痛仍
创钜痛深	创巨痛深
创历史最高纪录	创历史最高记录
创新纪录	创新记录
创痍	疮痍
创痍满目	疮痍满目
创痍未寥	创痍未疗
吹棒	吹捧
吹枯拉朽	摧枯拉朽
吹毛求次	吹毛求疵
吹毛求刺	吹毛求疵
吹眠曲	催眠曲
垂诞三尺	垂涎三尺
垂首贴耳	垂首帖耳
垂死争扎	垂死挣扎
垂头搨翼	垂头拓翼
垂衔	垂涎
垂衔三尺	垂涎三尺
搥胸跌脚	捶胸跌脚
搥胸跌足	捶胸跌足
顀顇	憔悴
春暧人心	春暖人心
春蚕到死丝方尽蜡炬成灰泪始干	春蚕到死丝方尽，蜡炬成灰泪始干
春光溶溶	春光融融
春辉	春晖
春生夏长秋收冬藏	春生夏长，秋收冬藏
蝽象	椿象
淳淳告诫	谆谆告诫
脣敝舌腐	唇敝舌腐
脣齿相须	唇齿相须
脣齿相依	唇齿相依
脣辅相连	唇辅相连
脣腐齿落	唇腐齿落
脣红齿白	唇红齿白
脣尖舌利	唇尖舌利
脣焦口燥	唇焦口燥
脣焦舌敝	唇焦舌敝
脣揭齿寒	唇揭齿寒
脣竭齿寒	唇竭齿寒
脣枪舌剑	唇枪舌剑
脣鎗舌剑	唇枪舌剑
脣亡齿寒	唇亡齿寒
戳力同心	戮力同心
戳无路兒	戳无路儿
绰绰有馀	绰绰有余
绰绰有裕	绰绰有余
绰然有馀	绰然有余
绰有馀暇	绰有余暇
绰有馀裕	绰有余裕
呲牙咧咀	呲牙咧嘴
词赋	辞赋
词令	辞令
词藻	辞藻
词章	辞章
茨菰	慈姑
瓷漆	磁漆
慈详	慈祥
慈详的笑容	慈祥的笑容
辞不达意	词不达意
辞汇	词汇
辞讼	词讼
辞严义正	词严义正
辞严谊正	词严义正
磁器	瓷器
雌雄同柱	雌雄同株
餈粑	糍粑
此既	此即
此系膺品	此系赝品
刺猥头	刺猬头
赐与	赐予
从末	从未
从善如登从恶如崩	从善如登，从恶如崩
从以待旦	坐以待旦
从中干旋	从中斡旋
匆猝	匆促
匆卒	匆促
聪明睿知	聪明睿智
聪明叡知	聪明睿知
凑和	凑合
粗旷	粗犷
粗卤	粗鲁
粗心大义	粗心大意
猝中	卒中
酢酱草	酢浆草
鑹子	镩子
催毁性	摧毁性
催帐单	催账单
摧促	催促
璀灿	璀璨
脆绿	翠绿
淬不及防	猝不及防
翠饶珠围	翠绕珠围
存亡齿寒	唇亡齿寒
撮科打閧	撮科打哄
措词不当	措辞不当
措踪复杂	错综复杂
错采镂金	错彩镂金
错辞不当	措词不当
错手不及	措手不及
哒哒	嗒嗒
搭当	搭档
搭挡	搭档
搭拉	耷拉
搭连	褡裢
搭裢	褡裢
搭赸	搭讪
褡连	褡裢
褡联	褡裢
达芬奇	达·芬奇
沓来麕至	沓来麇至
沓无音信	杳无音信
答碴儿	搭碴儿
答覆	答复
答理	搭理
答腔	搭腔
答讪	搭讪
打把势	打把式
打报不平	打抱不平
打拚	打拼
打补钉	打补丁
打颤	打战
打灯迷	打灯谜
打迭	打叠
打顿儿	打盹儿
打个颤	打个战
打恭作揖	打躬作揖
打躬作辑	打躬作揖
打躬做揖	打拱作揖
打拱作辑	打拱作揖
打拱作揖	打躬作揖
打榖场	打谷场
打击不利	打击不力
打家劫会	打家劫舍
打家劫社	打家劫舍
打家截舍	打家劫舍
打架斗欧	打架斗殴
打磕睡	打瞌睡
打腊	打蜡
打蓝球	打篮球
打冷颤	打冷战
打量一翻	打量一番
打破纪录	打破记录
打破沙锅	打破砂锅
打手式	打手势
打予防针	打预防针
打鱼郎	打渔郎
打鱼人	打渔人
打召面儿	打照面儿
打着颤	打着战
大坂	大阪
大不例颠	大不列颠
大部份	大部分
大才榱槃	大才榱盘
大才槃槃	大才盘盘
大澈大悟	大彻大悟
大吹人擂	大吹大擂
大淳小庇	大醇小疵
大淳小疵	大醇小疵
大辞典	大词典
大胆想象	大胆想像
大多类同	大多雷同
大放光采	大放光彩
大放厥辞	大放厥词
大公尤私	大公无私
大喝采	大喝彩
大哄大嗡	大轰大嗡
大夥儿	大伙儿
大脚姆趾	大脚拇趾
大桔子	大橘子
大块朵颐	大快朵颐
大塊文章	大块文章
大浪掏沙	大浪淘沙
大陆性气侯	大陆性气候
大茂经	大藏经
大名顶顶	大名鼎鼎
大漠孤烟直长河落日圆	大漠孤烟直，长河落日圆
大姆指	大拇指
大怒人怨	天怒人怨
大气侯	大气候
大气晚成	大器晚成
大前题	大前提
大粬酒	大曲酒
大麯酒	大曲酒
大麴酒	大曲酒
大壤之别	天壤之别
大杀风景	大煞风景
大声急呼	大声疾呼
大事纪	大事记
大厅广众	大庭广众
大廷广众	大庭广众
大显神手	大显身手
大相迳庭	大相径庭
大相庭径	大相径庭
大漩涡	大旋涡
大学肆业	大学肄业
大檐帽	大沿帽
大义廪然	大义凛然
大有稗益	大有裨益
大有迳庭	大有径庭
大有做为	大有作为
大庾	大余
大约莫	大约摸
大展鸿图	大展宏图
大智偌愚	大智若愚
大作文章	大做文章
呆坏帐	呆坏账
呆会	待会
呆楞楞	呆愣愣
呆偌木鸡	呆若木鸡
呆帐	呆账
呆帐坏帐	呆账坏账
獃头獃脑	呆头呆脑
代价而估	待价而沽
迨拳道	跆拳道
带答不理	待答不理
带孝	戴孝
带罪立功	戴罪立功
待价而估	待价而沽
待迂	待遇
玳玳花	代代花
戴高帽兒	戴高帽儿
单式记帐	单式记账
单则易折众则难摧	单则易折，众则难摧
担白	坦白
担搁	耽搁
担搁到	耽搁到
担食壶浆	箪食壶浆
耽心	担心
耽忧	担忧
躭惊受怕	担惊受怕
胆颤	胆战
胆颤心寒	胆战心寒
胆颤心惊	胆战心惊
胆大枉为	胆大妄为
胆大忘为	胆大妄为
胆大於身	胆大于身
但愿人长久千里共婵娟	但愿人长久，千里共婵娟
弹拔乐器	弹拨乐器
弹簧称	弹簧秤
弹精竭虑	殚精竭虑
弹刻	弹劾
弹刻领导	弹劾领导
弹子枱	弹子台
弹子抬	弹子台
惮财竭力	殚财竭力
惮精竭虑	殚精竭虑
惮精竭虚	殚精竭虑
惮思竭虑	殚思竭虑
淡薄名利	淡泊名利
淡不上	谈不上
淡汝浓抹	淡妆浓抹
淡扫蛾眉	淡扫娥眉
蛋白示	蛋白石
蛋白梯	蛋白体
澹泊	淡泊
澹泊寡欲	淡泊寡欲
澹泊明志	淡泊明志
澹泊明志，宁静致远	淡泊明志，宁静致远
澹泊明志宁静致远	澹泊明志，宁静致远
澹然	淡然
澹然处之	淡然处之
当场出采	当场出彩
当家做主	当家作主
当局者迷旁观者清	当局者迷，旁观者清
当人不让	当仁不让
当务之争	当务之急
当值无愧	当之无愧
当作财富	当做财富
当作外人	当做外人
当作笑柄	当做笑柄
当做	当作
挡面	当面
宕帐	宕账
荡检逾閒	荡检逾闲
刀靶儿	刀把儿
刀光箭影	刀光剑影
刀俎馀生	刀俎余生
叨陪末坐	叨陪末座
岛霉素	稻霉素
倒绷孩	倒绷孩儿
倒挂金勾	倒挂金钩
倒冠落珮	倒冠落佩
倒噍	倒嚼
倒楣	倒霉
倒楣鬼	倒霉鬼
倒踏门	倒插门
倒魨孩	倒鲀孩儿
倒味口	倒胃口
倒帐	倒账
捣把	倒把
捣乱份子	捣乱分子
捣腾	倒腾
捣虚撇抗	捣虚批亢
祷唸	祷念
蹈常習故	蹈常习故
蹈故習常	蹈故习常
蹈光养晦	韬光养晦
到处传颂	到处传诵
到处飘泊	到处漂泊
到时侯	到时候
到有点意思	倒有点意思
悼辞	悼词
悼悼有余	绰绰有余
盗国大盗	窃国大盗
盗跖之物	盗蹠之物
盗锺掩耳	盗钟掩耳
道傍苦李	道旁苦李
道傍之筑	道旁之筑
道傍筑室	道旁筑室
道高一尺魔高一丈	道高一尺，魔高一丈
道高益安势高益危	道高益安，势高益危
道谦	道歉
道听涂说	道听途说
道远知骥世伪知贤	道远知骥，世伪知贤
得薄能鲜	德薄能鲜
得不尝失	得不偿失
得大独厚	得天独厚
得道多助失道寡助	得道多助，失道寡助
得高望重	德高望重
得害关系	利害关系
得厉	得利
得陇忘蜀	得陇望蜀
得人者昌失人者亡	得人者昌，失人者亡
得胜头迴	得胜头回
得意忘筌	得鱼忘筌
得意忘言	得意妄言
得意扬扬	得意洋洋
得鱼忘荃	得鱼忘筌
德高望众	德高望重
德克萨斯	得克萨斯
德胜头迴	得胜头回
的时侯	的时候
灯采	灯彩
灯迷	灯谜
灯蕊	灯芯
灯心	灯芯
灯心草	灯芯草
灯心绒	灯芯绒
登峰市	登封市
登高远跳	登高远眺
登极	登基
登帐	登账
等侯	等候
等閒人家	等闲人家
等閒视之	等闲视之
低徊	低回
低三下	低三下四
低头搭脑	低头耷脑
低粘度	低黏度
隄边	堤边
隄溃蚁孔	堤溃蚁孔
滴滴嗒嗒	滴滴答答
滴里耷拉	滴哩答拉
滴里嘟噜	嘀里嘟噜
滴露研硃	滴露研朱
滴水不搀	滴水不羼
狄克推多	狄克维多
狄斯可	迪斯科
狄斯奈乐	迪斯尼乐园
狄斯耐乐	迪斯尼乐园
迪士高	迪斯科
迪斯科午	迪斯科舞
迪斯可	迪斯科
笛卡儿	笛卡尔
底帐	底账
抵瑕蹈隙	涤瑕蹈隙
抵帐	抵账
抵柱	砥柱
牴触	抵触
牴牾	抵牾
地拆天崩	地坼天崩
地到	地道
地复天翻	地覆天翻
地官	地宫
地广人希	地广人稀
地旷人希	地旷人稀
地上天官	地上天宫
地五会	第五回
掂斤拨两	掂斤播两
掂念	惦念
颠脣簸嘴	颠唇簸嘴
颠峰	巅峰
颠复	颠覆
颠仆不破	颠扑不破
颠朴不破	颠扑不破
颠衣到裳	颠衣倒裳
攧扑不破	颠扑不破
典藉	典籍
典茂	典藏
点拔	点拨
电灯炮	电灯泡
电饭褒	电饭煲
电吉它	电吉他
电闪雷呜	电闪雷鸣
电子称	电子秤
唸白	念白
唸唸有词	念念有词
唸佛	念佛
唸经	念经
唸来唸去	念来念去
唸起来	念起来
唸书	念书
唸下去	念下去
唸一唸	念一念
唸珠	念珠
刁钻促搯	刁钻促掏
凋蔽	凋敝
彫虫小技	雕虫小技
彫虫篆刻	雕虫篆刻
彫蟲小技	雕虫小技
彫蟲篆刻	雕虫篆刻
彫肝琢肾	雕肝琢肾
彫章镂句	雕章镂句
雕敝	凋敝
雕弊	凋敝
雕虫小计	雕虫小技
雕蟲薄技	雕虫薄技
雕蟲刻篆	雕虫刻篆
雕蟲末伎	雕虫末伎
雕蟲末技	雕虫末技
雕蟲小技	雕虫小技
雕蟲小巧	雕虫小巧
雕蟲小事	雕虫小事
雕蟲小艺	雕虫小艺
雕蟲篆刻	雕虫篆刻
雕粱画栋	雕梁画栋
雕零	凋零
雕落	凋落
雕象	雕像
雕谢	凋谢
吊儿锒铛	吊儿郎当
吊尔郎当	吊儿郎当
吊卷	调卷
吊以轻心	掉以轻心
调拔	调拨
调兵谴将	调兵遣将
调兵遗将	调兵遣将
调脣弄舌	调唇弄舌
调仃调仃	调停调停
调坎儿	调侃儿
调嗓子	吊嗓子
调舌弄脣	调舌弄唇
调神暢情	调神畅情
调味汗	调味汁
调遗	调遣
调以轻心	掉以轻心
调硃傅粉	调朱傅粉
调硃弄粉	调朱弄粉
跌荡	跌宕
跌荡不羁	跌宕不羁
跌荡不拘	跌宕不拘
跌荡放言	跌宕放言
跌荡风流	跌宕风流
跌荡起伏	跌宕起伏
跌交	跌跤
跌脚搥胸	跌脚捶胸
迭床架屋	叠床架屋
迭翠	叠翠
迭迭不休	喋喋不休
迭放	叠放
迭罗汉	叠罗汉
迭印	叠印
迭韵	叠韵
迭嶂	叠嶂
啑血	喋血
谍碟不休	喋喋不休
牒血	喋血
牒血街头	喋血街头
蝶舞蜂暄	蝶舞蜂喧
蹀血	喋血
鰈离鹣背	鲽离鹣背
丁冬	丁东
丁咀铁舌	钉嘴铁舌
丁宁	叮咛
丁宁戒告	叮咛告诫
丁是丁卯是卯	丁是丁，卯是卯
丁嘱丁嘱	叮嘱叮嘱
仃辛伫苦	停辛伫苦
仃滞不前	停滞不前
叮当声	丁当声
叮噹	丁当
叮档	丁当
玎当	丁当
钉木椿	钉木桩
钉钮扣	钉纽扣
钉梢	盯梢
钉是钉铆是铆	钉是钉，铆是铆
顶顶大名	鼎鼎大名
顶锋	顶峰
顶瓜瓜	顶呱呱
顶刮刮	顶呱呱
顶礼摩拜	顶礼膜拜
顶帐	顶账
鼎立相助	鼎力相助
鼎食鸣锺	鼎食鸣钟
鼎鱼幕蒸	鼎鱼幕燕
定单	订单
定户	订户
定婚	订婚
定货	订货
定货单	订货单
定率	定律
定期会悟	定期会晤
定阅	订阅
丢三拉四	丢三落四
东北东	北东东
东边日头西边雨	东边日出西边雨
东不拉	冬不拉
东瓜	冬瓜
东麟西爪	东鳞西爪
东南东	南东东
东挦西撦	东挦西扯
东一句西	东一句，西一句
东一句西一句	东一句，西一句
东隅已逝桑榆非晚	东隅已逝，桑榆非晚
冬冬声	咚咚声
冬寒抱冰夏热握火	冬寒抱冰，夏热握火
动人心肺	动人心弦
动若观火	洞若观火
动辙	动辄
动辙得咎	动辄得咎
冻结帐号	冻结账号
洞洞灟々	洞洞灟灟
洞见肺俯	洞见肺腑
洞偌观火	洞若观火
洞萧横吹	洞箫横吹
都市计画	都市计划
斗脣合舌	斗唇合舌
斗美誇丽	斗美夸丽
斗欧	斗殴
斗趣儿	逗趣儿
抖嘴	斗嘴
枓拱	斗拱
枓栱	斗拱
逗遛	逗留
毒夫民贼	独夫民贼
毒赋賸敛	毒赋剩敛
读书扎记	读书札记
读万卷书行万里路	读万卷书，行万里路
独出新裁	独出心裁
独此一家别无分店	独此一家，别无分店
独挡一面	独当一面
独家报导	独家报道
独善其养	独善其身
独树一枝	独树一帜
独行其要	独行其是
独在异乡为异客每逢佳节倍思亲	独在异乡为异客，每逢佳节倍思亲
独占螯头	独占鳌头
独占鰲头	独占鳌头
独占鼇头	独占鳌头
赌波集团	赌博集团
赌帐	赌账
妒贤忌能	妒贤嫉能
杜蘅	杜衡
杜渐防荫	杜渐防萌
度长絜大	度长洁大
度长絜短	度长洁短
度过难关	渡过难关
度江	渡江
渡过暑假	度过暑假
渡过这段时光	度过这段时光
渡假	度假
渡假村	度假村
渡假区	度假区
渡假胜地	度假胜地
渡蜜月	度蜜月
渡日	度日
渡日如年	度日如年
镀铬纲	镀铬钢
端五	端午
端五节	端午节
端祥	端详
端佯	端详
短小精干	短小精悍
短小精捍	短小精悍
断壁残桓	断壁残垣
断壁颓桓	断壁颓垣
断管残瀋	断管残渖
断齑塊粥	断齑块粥
断章取意	断章取义
断纸馀墨	断纸余墨
锻练	锻炼
堆迭	堆叠
堆集如山	堆积如山
队伍宠大	队伍庞大
对薄公堂	对簿公堂
对窗夜雨	对床夜雨
对号入坐	对号入座
对流性雨	对流星雨
对像	对象
对於	对于
对帐	对账
对证下药	对症下药
对症下葯	对症下药
兑帐	兑账
顿学累功	钝学累功
顿足搥胸	顿足捶胸
遁辞	遁词
多采多姿	多彩多姿
多多包含	多多包涵
多咀多舌	多嘴多舌
多明哥	多明戈
多明尼加	多米尼加
多麽	多么
多水份的	多水分的
多姿多采	多姿多彩
咄拙逼人	咄咄逼人
哆唆	哆嗦
掇句成文	缀句成文
躲茂	躲藏
俄克拉何马州	俄克拉荷马州
俄勒岗	俄勒冈
峨嵋派	峨眉派
峨嵋山市	峨眉山市
鹅銮鼻	鹅鸾鼻
蛾度虵行	蛾度蛇行
蛾冠博带	峨冠博带
蛾眉大眼	娥眉大眼
蛾眉皓齿	娥眉皓齿
蛾眉皓首	娥眉皓首
蛾眉曼睩	娥眉曼睩
蛾眉螓首	娥眉螓首
蛾眉月	娥眉月
额首称庆	额手称庆
扼吭夺食	扼亢夺食
扼吭拊背	扼亢拊背
扼坑拊背	扼亢拊背
恶贯潢盈	恶贯满盈
恶耗	噩耗
恶很很	恶狠狠
恶虎扑食	饿虎扑食
恶化顷向	恶化倾向
恶言漫骂	恶言谩骂
恶意咀咒	恶意诅咒
恶意挑拔	恶意挑拨
恶紫夺硃	恶紫夺朱
饿虎朴食	饿虎扑食
饿死事小失节事大	饿死事小，失节事大
遏渐防荫	遏渐防萌
搤臂啮指	扼臂啮指
恩断意绝	恩断义绝
尔虞我炸	尔虞我诈
耳鬓斯磨	耳鬓厮磨
耳根清静	耳根清净
耳掴子	耳刮子
耳後风生	耳后风生
耳聋眼黒	耳聋眼黑
耳儒目染	耳濡目染
耳熟能祥	耳熟能详
耳闻是虚眼观为实	耳闻是虚，眼观为实
耳详能熟	耳熟能详
二佛涅槃	二佛涅盘
二缶锺惑	二缶钟惑
二虎相斗必有一伤	二虎相斗，必有一伤
二簧	二黄
二人同心其利断金	二人同心，其利断金
二氧化炭	二氧化碳
贰心	二心
发场光大	发扬光大
发出卡嗒声	发出咔哒声
发奋图强	发愤图强
发奋忘食	发愤忘食
发愤努力	发奋努力
发愤有为	发奋有为
发广	发光
发楞	发愣
发令抢	发令枪
发矇振聩	发蒙振聩
发人深醒	发人深省
发韧	发轫
发生磨擦	发生摩擦
发眩光	发炫光
发扬光人	发扬光大
发扬广大	发扬光大
发音宏亮	发音洪亮
发指毗裂	发指眦裂
发自肺脏	发自肺腑
发踪指示	发纵指示
乏乏之辈	泛泛之辈
乏指	泛指
法不殉情	法不徇情
法考福	法兰克福
法朗	法郎
法律面前人人平等	法律面前，人人平等
法律之前人人平等	法律之前，人人平等
法挺	法庭
法网恢恢疏而不漏	法网恢恢，疏而不漏
法属圭亚	法属圭亚那
珐瑯质	珐琅质
翻常	反常
翻脣弄舌	翻唇弄舌
翻复	翻覆
翻复无常	反复无常
翻簧	翻黄
翻旧帐	翻旧账
翻来复去	翻来覆去
翻老帐	翻老账
翻然	幡然
翻然改进	幡然改进
翻然改图	幡然改图
翻然悔悟	幡然悔悟
翻然醒悟	幡然醒悟
翻手为云覆手为雨	翻手为云，覆手为雨
翻天复地	翻天覆地
翻箱倒櫃	翻箱倒柜
翻云复雨	翻云覆雨
藩茄	番茄
藩然	幡然
藩然醒悟	幡然醒悟
飜黄倒皁	翻黄倒皂
凡蒂冈	梵蒂冈
凡事预则立不预则废	凡事预则立，不预则废
烦难	繁难
烦脑	烦恼
烦杂	繁杂
烦燥	烦躁
烦燥不安	烦躁不安
烦燥情绪	烦躁情绪
蕃茄	番茄
蕃茄炒蛋	番茄炒蛋
蕃茄酱	番茄酱
蕃茄片	番茄片
蕃茄沙司	番茄沙司
蕃衍	繁衍
燔书阬儒	燔书坑儒
繁华锦锈	繁华锦绣
繁琐哲学	烦琐哲学
繁文褥节	繁文缛节
反唇相机	反唇相讥
反唇相稽	反唇相讥
反脣相讥	反唇相讥
反脣相稽	反唇相讥
反动份子	反动分子
反复筹画	反复筹划
反复蕴酿	反复酝酿
反覆	反复
反覆地说	反复地说
反覆地做	反复地做
反覆无常	反复无常
反革命分	反革命分子
反革命份	反革命分子
反工自问	反躬自问
反弓自问	反躬自问
反还	返还
反老还童	返老还童
反璞归真	返璞归真
反应锐敏	反应敏锐
反应意见	反映意见
反云覆雨	翻云覆雨
反殖	繁殖
返本还原	返本还源
返顾	反顾
返祖现像	返祖现象
犯言直谏	犯颜直谏
